Year,Manufacturing,Mining and quarrying,"Electricity and gas supply, and waste management", Construction sites (manual workers only),Import/export trade and wholesale, Retail,"Transportation, storage, postal and courier services",Accommodation and food services (1),Information and communications,Financing and insurance,Real estate,"Professional, scientific and technical services",Administrative and support services,Education,Human health and social work services,"Arts, entertainment and recreation",Other services,All industry sections covered
2001,-11.4,16.2,1.4,-8.7,-1.8,-2.3,4.9,1.1,0,1.4,0.3,-0.6,0.5,6.9,15.8,5.3,4.5,-0.3
2002,-10.1,-34.6,1.2,-13.3,-0.4,0.3,1.1,-6,0.1,-5.5,7.8,0.7,6.6,0.4,4.4,24.7,4.7,-1
2003,-9.1,53.8,4.2,2.9,-1.6,2.3,0,-1.8,-6.4,-2.9,-1.2,-5,0.1,4.3,4,9.8,-5.2,-1.2
2004,-2.2,-25.6,-9.2,-10.3,3.3,1,3.6,4.2,1,2.5,1.3,8.8,8.9,2.5,1.4,58.4,2.6,3.1
2005,0.8,-4.5,-5.6,-11.1,1.1,1.9,2.7,4.8,-1.2,4,9.7,0.3,1.1,2.7,0.8,22.3,1.4,2
2006,-6,-9.4,4,-6.3,1.1,3.2,1.6,4.7,1.8,6.5,3.4,9.5,3.8,4.2,2.3,-1,4.1,2.4
2007,-2.8,-12.1,-0.5,-1.8,0.4,3.1,2.8,3,2.9,7.1,5.5,3.8,0.4,1.8,4.2,-1.1,3.2,2.1
2008,-3.8,-3.9,4.4,-1.3,-1.8,1.5,1.8,0,1.7,0.9,-0.1,3.6,-0.1,5.7,3.5,5.3,-0.9,0.5
2009,-4.4,-11.2,2,7.5,-2.4,1.2,2.2,2.6,0.1,2.4,3.3,2.7,6.9,6.3,3.2,1,3,1.4
2010,-5.9,-4.6,1.9,4.3,0.4,3.6,1.4,3.3,1.2,5.8,3.8,2.4,5.3,0.6,2.7,3.1,5.7,2.2
2011,-6.1,-14.5,-4.1,25.2,-0.9,2.7,2.4,4.3,4.9,5.6,8.6,4.5,4.7,2.3,2.6,0.2,1.5,2.8
2012,-4.6,2.8,-3.2,1.7,-0.9,2.1,1.1,3,4.2,0.2,3,3.2,2.1,2.5,4.2,1.2,1.7,1.3
2013,-1.5,6.8,6.6,13.4,-0.3,2.9,2.6,1.3,6.2,2.8,0.5,4.9,4.8,2.4,2.9,2.1,2.7,2.4
2014,-2.1,2.6,0.8,7.8,0.6,1.4,2.9,2.8,1.9,1.8,1.8,0.9,1.5,6,3.8,12.7,2.6,2.2
2015,-2.6,-10,-0.7,18.1,-1.9,-1.3,1.1,-0.8,1.2,1.5,-0.1,2,0.9,2.9,3.9,-1.6,-0.6,0.7
2016,-4.1,-15.3,2.1,10.2,-0.7,-0.2,0.2,-0.1,0.8,1,1.1,2.6,2.5,2.3,3,-5.9,-1.2,0.8
2017,-3.6,-19.7,0.3,9.2,-0.6,0.6,0.8,0.2,-0.2,2,1.4,2.2,0.7,1.6,2.8,0.5,1.1,1
2018,-1.5,-36.7,0.9,-16.1,-0.7,1.8,-0.1,3.8,2.6,2.8,2.4,4,0.5,1.6,2.7,2.7,0.9,0.7
2019,-5.2,-45.2,-0.1,-3,-7.3,-4.8,0,-6.3,0.3,2.2,0,0.7,0.1,1.4,4.9,2.6,-2.2,-2.1
2020,-4.1,100,0.3,-3.8,-11.4,-4.1,-7.5,-14.4,-0.3,0.1,1.2,1.8,-1.1,-1.3,1.8,-8.9,-4.2,-4.7
2021,-6.7,-26.5,0.8,10.9,0.1,0.5,-0.4,7.4,-1.7,0.7,5.7,0.9,-1.1,0.3,1.9,0.1,-0.3,1.3
2022,-2.6,-16,3.5,0.6,-1.5,-2,-2,1.9,-1.5,-2.8,-3.4,-0.7,-1,1.9,2.3,-2.2,-1,-0.8
