Year,Manufacturing,Mining and quarrying,"Electricity and gas supply, and waste management", Construction sites (manual workers only),Import/export trade and wholesale, Retail,"Transportation, storage, postal and courier services",Accommodation and food services (1),Information and communications,Financing and insurance,Real estate,"Professional, scientific and technical services",Administrative and support services,Education,Human health and social work services,"Arts, entertainment and recreation",Other services,All industry sections covered
2000,207816,154,10775,83924,576060,212666,129640,219210,88124,158708,81181,112685,122377,117124,100944,14836,56947,2293171
2001,184176,179,10923,76601,565434,207713,136048,221726,88091,160899,81424,112044,122992,125227,116880,15616,59483,2285456
2002,165606,117,11055,66393,563068,208386,137612,208347,88194,151995,87786,112791,131118,125722,122007,19477,62265,2261939
2003,150555,180,11514,68306,554058,213211,137640,204548,82520,147601,86728,107168,131260,131131,126857,21382,59018,2233677
2004,147290,134,10451,61247,572364,215432,142648,213043,83367,151280,87828,116550,142948,134461,128638,33865,60564,2302110
2005,148396,128,9867,54456,578563,219495,146475,223222,82334,157397,96333,116891,144554,138131,129612,41406,61412,2348672
2006,139547,116,10259,51004,584651,226441,148862,233679,83825,167699,99586,127980,150111,143918,132655,40991,63955,2405279
2007,135709,102,10205,50103,586917,233472,153036,240660,86265,179651,105063,132864,150664,146439,138268,40524,65977,2455919
2008,130602,98,10657,49448,576566,236910,155838,240719,87717,181188,104931,137666,150571,154856,143055,42682,65367,2468871
2009,124907,87,10870,53154,562551,239782,159297,247045,87847,185614,108410,141359,160993,164660,147662,43097,67315,2504650
2010,117590,83,11075,55425,564881,248349,161544,255288,88894,196413,112542,144797,169547,165601,151640,44414,71157,2559240
2011,110379,71,10616,69395,559610,254974,165474,266315,93268,207324,122252,151258,177535,169337,155632,44514,72222,2630176
2012,105308,73,10275,70578,554628,260246,167241,274195,97230,207700,125938,156091,181317,173550,162165,45046,73449,2665030
2013,103683,78,10956,80061,552823,267703,171620,277794,103248,213490,126523,163817,190000,177734,166943,46000,75411,2727884
2014,101480,80,11039,86343,556185,271553,176638,285554,105215,217249,128773,165298,192830,188373,173368,51824,77402,2789204
2015,98879,72,10964,101982,545464,268072,178497,283269,106527,220436,128650,168676,194609,193898,180100,50969,76952,2808016
2016,94856,61,11190,112370,541610,267534,178802,282879,107342,222720,130033,172997,199424,198380,185589,47950,76033,2829770
2017,91442,49,11228,122761,538235,269264,180251,283505,107122,227156,131855,176778,200881,201488,190812,48207,76866,2857900
2018,90097,31,11324,103017,534434,274077,180139,294278,109935,233480,134972,183921,201951,204658,195947,49522,77532,2879315
2019,85387,17,11315,99938,495398,261058,180227,275839,110282,238513,135038,185154,202087,207606,205531,50815,75797,2820002
2020,81912,34,11352,96117,438964,250277,166775,236121,109938,238710,136657,188397,199777,204848,209177,46298,72578,2687932
2021,76456,25,11444,106630,439500,251421,166039,253527,108058,240274,144471,190080,197622,205534,213050,46352,72386,2722869
2022,74478,21,11846,107298,432737,246424,162743,258304,106413,233440,139581,188722,195717,209448,217867,45330,71634,2702003
