Year,Manufacturing,Mining and quarrying,"Electricity and gas supply, and waste management", Construction sites (manual workers only),Import/export trade and wholesale, Retail,"Transportation, storage, postal and courier services",Accommodation and food services (1),Information and communications,Financing and insurance,Real estate,"Professional, scientific and technical services",Administrative and support services,Education,Human health and social work services,"Arts, entertainment and recreation",Other services,All industry sections covered
2001,-7.5,16.7,3.6,-4.8,-3.2,2.7,3.8,5.2,6.6,1.1,-9.4,3.3,-6.5,15.1,10.4,10.6,5.9,-0.4
2002,-4.9,-14.3,5.6,1.9,5.2,0.8,5.2,2.3,18.1,3.8,6.5,10.1,18.5,11.7,4.5,61.4,6,4.9
2003,-15.9,16.7,6.3,10,-6.3,-5.2,-4.2,-3.1,-7.4,-8.4,-17.1,-6.6,-12.3,4.1,-0.9,-11.6,-6,-6.9
2004,-4.7,-14.3,-11.2,-3.3,0,-1,-3.5,2.2,2.3,-1,2.8,2.5,1.1,10.6,4.1,8.9,2.8,0.3
2005,-3.7,0,-3.1,-14.1,0.8,2.2,4.8,4.7,-1,4.1,11.8,4.6,2.7,10.1,3.1,4.9,2.7,2.2
2006,-0.7,0,-2.2,5,1.8,2.4,-0.8,4.5,8,5.1,3.4,4.4,4.7,7.2,5.2,7.2,3.7,2.8
2007,-1.5,-16.7,0.4,3.8,-2.5,0.4,1.1,2,-2.4,-1.2,4.7,3.6,2.8,5.2,2.4,2.5,2.4,-0.1
2008,-2.9,-20,7.7,4.2,-1.5,-1.2,-5.4,-1.4,-1.9,3.2,0.2,0.4,-5.6,5.7,0.8,8.3,0.3,-0.9
2009,-1,-25,6.5,0.6,2.2,6.1,14.8,8.7,6.5,8.4,10.6,9.2,8.7,17.2,4.4,14.2,5.5,5.5
2010,-3.7,0,3.8,11,4.1,3.9,7.7,8.4,10.3,8.3,7.9,7.1,7.4,14.2,4.5,11.6,7.5,5.5
2011,-3.5,-33.3,0.6,6.4,0.6,2.5,3,5.4,8,8.3,10.1,5.9,6.7,9.4,3.8,13.7,3.4,3.3
2012,-2.5,0,13.8,-1.2,-1,1,-2,1.2,5.7,3.2,3,3.9,2.9,8.5,3.2,4.4,1.2,1.1
2013,-1.5,0,12.4,13,0.1,2.3,1.4,0.6,7.5,5.9,3.6,8.5,7.1,10.6,5.2,13.6,4,3
2014,-4.2,0,1.2,-3.7,1.4,0.8,0.6,4.7,3,0.9,0.6,2.2,-0.2,10.9,2.2,9.4,1.8,1.7
2015,-3.2,0,-5.7,10.3,-2.2,-1.2,-1.2,-0.1,1.1,2.4,2.3,2.9,1.9,5.6,3.1,6.2,0.6,0
2016,-6.3,0,-2,0,-1,-2.2,0.7,0.2,3.3,4.8,2.2,3.1,-0.2,2.8,1.3,-1,0.6,0.1
2017,-4.8,0,1.8,3.5,-0.1,-0.8,1.2,1.5,7.3,5.8,3.1,2.4,1.1,3.8,2,0.4,1.6,1.2
2018,-2.2,-50,1.8,3.5,-0.6,1.6,3.7,6.9,4.2,4.1,2.6,3.1,3.9,3.1,2.5,1.4,1.6,1.8
2019,-3.8,0,3,12.7,-3,-2.8,-0.7,-2.4,1.4,2,2.1,2.3,-0.4,1.4,1.9,-0.6,-1.2,-1
2020,-3.3,0,0.5,-0.6,-4,-0.4,-0.5,-7,2.1,0.5,0.7,2.2,-0.6,-1.8,0.7,-1.7,-1.2,-1.5
2021,-2.9,0,6.9,-1.3,-1,2.8,1.7,2.3,1.5,2,2.7,2.9,0,3.2,1.5,2.4,0.8,1.2
2022,-1.9,0,9.2,-0.2,-1.3,1,2.7,3.5,1.4,1.6,0.7,2.1,0.8,6.8,4,6.8,3.5,1.2
