Year,Manufacturing,Mining and quarrying,"Electricity and gas supply, and waste management", Construction sites (manual workers only),Import/export trade and wholesale, Retail,"Transportation, storage, postal and courier services",Accommodation and food services (1),Information and communications,Financing and insurance,Real estate,"Professional, scientific and technical services",Administrative and support services,Education,Human health and social work services,"Arts, entertainment and recreation",Other services,All industry sections covered
2000,20279,6,277,978,116450,55522,7639,11503,6937,15279,10880,17674,9463,3676,6613,804,13129,297109
2001,18755,7,287,931,112772,57037,7930,12101,7397,15443,9856,18262,8845,4230,7299,889,13906,295947
2002,17827,6,303,949,118674,57493,8341,12380,8735,16030,10499,20101,10480,4725,7627,1435,14739,310344
2003,14988,7,322,1044,111170,54493,7990,12000,8087,14678,8708,18773,9187,4919,7555,1268,13853,289042
2004,14277,6,286,1010,111203,53930,7712,12266,8274,14530,8949,19248,9284,5442,7864,1381,14235,289897
2005,13743,6,277,868,112134,55132,8084,12844,8194,15119,10001,20136,9539,5992,8105,1449,14626,296249
2006,13649,6,271,911,114144,56431,8021,13425,8849,15897,10338,21023,9986,6424,8524,1554,15160,304613
2007,13443,5,272,946,111265,56680,8107,13700,8640,15705,10828,21784,10270,6756,8725,1593,15523,304242
2008,13048,4,293,986,109575,55989,7667,13504,8479,16211,10845,21864,9691,7144,8795,1725,15568,301388
2009,12924,3,312,992,111939,59385,8805,14679,9026,17574,11992,23882,10538,8372,9180,1970,16431,318004
2010,12441,3,324,1101,116530,61713,9484,15911,9958,19026,12942,25582,11317,9560,9594,2199,17665,335350
2011,12011,2,326,1172,117269,63277,9769,16763,10756,20610,14250,27083,12074,10458,9962,2501,18273,346556
2012,11716,2,371,1158,116110,63909,9569,16971,11368,21271,14673,28128,12429,11348,10282,2611,18491,350407
2013,11541,2,417,1309,116276,65387,9701,17068,12224,22516,15198,30519,13317,12549,10813,2967,19233,361037
2014,11056,2,422,1261,117919,65921,9757,17874,12595,22723,15296,31190,13294,13916,11046,3245,19584,367101
2015,10705,2,398,1391,115364,65142,9641,17860,12732,23261,15645,32103,13552,14700,11388,3447,19705,367036
2016,10032,2,390,1391,114166,63726,9713,17896,13155,24379,15991,33112,13520,15118,11537,3413,19817,367358
2017,9553,2,397,1439,114097,63222,9833,18159,14109,25792,16486,33917,13674,15693,11762,3425,20125,371685
2018,9347,1,404,1489,113436,64238,10194,19409,14708,26848,16911,34964,14202,16183,12055,3472,20444,378305
2019,8988,1,416,1678,110061,62411,10121,18944,14917,27397,17271,35776,14147,16409,12285,3451,20192,374465
2020,8695,1,418,1668,105675,62140,10071,17623,15224,27529,17385,36560,14061,16119,12372,3394,19943,368878
2021,8445,1,447,1647,104593,63875,10246,18034,15448,28081,17850,37638,14067,16635,12554,3475,20112,373148
2022,8285,1,488,1643,103252,64487,10521,18663,15660,28543,17979,38425,14183,17763,13050,3710,20825,377478
