Year,Manufacturing,"Sewerage, waste management and remediation activities",Import/export and wholesale trades,Retail trade,"Transportation, storage, postal and courier services",Accommodation and food service activities (1),Information and communications,Financial and insurance activities,Real estate activities,Professional and business services,Social and personal services,All selected industry sections
2005,-0.3,23.9,7.6,8.2,3.4,-2.5,-4.7,5.5,0.5,6.9,-2.9,2.4
2006,-1.2,16.1,2.2,-2.4,4.1,5.8,4.1,9.9,-11.1,1.3,-1.3,1.8
2007,1.1,11.4,-0.4,-0.8,-0.5,-0.6,-6.5,6.4,0.2,1.2,-0.5,2.4
2008,-4.6,-9.7,0.2,5.9,-5.5,-0.7,6.3,-2.1,-1.7,-7.1,-0.9,-4.3
2009,-1.2,-6.9,-1.9,-2.9,-1.4,-1.3,-0.3,-3.3,0.9,1,-1.9,-0.7
2010,0,-2,2.1,5.9,-1,-0.7,-3.1,9.5,-2.8,-0.5,-3.8,0.4
2011,2.2,6.3,6.5,7.4,-2.5,3.9,4.8,1.2,11.7,-0.1,0.1,3.2
2012,2.1,-1.6,2.3,5.9,2,2.1,3.2,0.1,2.2,0.3,1.4,2
2013,-1.5,-0.9,-1.1,2.3,0.7,2.5,1.9,-0.5,0.5,3.2,-0.6,1
2014,1.4,-0.2,-2.4,-1.9,-2.6,-0.3,-0.1,-1,0.3,1.8,-3.9,-1.1
2015,1.9,3.6,0.6,1,1.6,3.5,0.1,1.2,2.8,4,2.8,2
2016,1.9,2.1,1.4,1.7,2.1,3.8,2.7,2.3,3.1,3.3,2.1,2.5
2017,2.2,3.2,1.7,1.7,1.2,2.4,2,1.2,2.7,2.8,4.2,2.6
2018,1.4,1.4,0.2,0,2.1,3,0.7,0.7,1.5,2.1,0.3,1
2019,-0.1,0.7,-1.4,-1.4,-0.2,0.3,0.2,-0.9,0.5,-0.2,-1.5,-0.6
2020,-0.5,3,0.4,0.2,-10,-3.6,2.3,2.2,1.7,1.8,6.2,2.4
2021,-1.4,0.5,-0.8,-0.8,-2.2,1,0.5,0.2,-0.2,0,-2.2,-0.4
2022,0.2,0.7,-0.5,0.1,2.2,1.5,1.2,1,0.5,1.3,0.4,0.5
