Year,Manufacturing,Mining and quarrying,"Electricity and gas supply, and waste management", Construction sites (manual workers only),Import/export trade and wholesale, Retail,"Transportation, storage, postal and courier services",Accommodation and food services (1),Information and communications,Financing and insurance,Real estate,"Professional, scientific and technical services",Administrative and support services,Education,Human health and social work services,"Arts, entertainment and recreation",Other services,All industry sections covered
2001,-34.2,0,-73.3,-57.6,-46.6,-37.9,-40.4,-25.9,-39.9,-27.6,-15.1,-66.4,-23.5,-14.1,-10.7,59.7,2.7,-32.1
2002,-19,0,-50,-62.7,14,-2.6,30.9,-13.6,-40.2,9.1,34.8,38.8,-36.1,-17.9,-20.1,-33.3,-26.3,-5.5
2003,-7.6,0,50,28.6,40.8,58,-2.6,57.4,117,38.2,-7.6,32.6,29.7,-0.6,-4.4,57.9,16,28.9
2004,66.1,0,-50,-8.3,33.1,11.3,44.3,28.2,-7.6,28.7,51.1,89,81.2,115.9,1.8,130.8,88.1,39.8
2005,52.8,0,833.3,-36.4,21,39.9,23.8,96.1,41.4,37.7,-3.4,-8.7,11.2,24.1,-1.2,-11.7,32,24.9
2006,-30,0,-28.6,-23.8,-12.7,13.4,21.2,-10.6,18.9,-8.6,24.4,22.7,10.4,30.7,49.9,20,48,5.7
2007,18.6,0,220,-6.3,22.1,6.9,20.6,42.1,5.1,25.3,18.9,17.6,45.6,19,19,70.5,21.1,24.6
2008,-36.2,0,-3.1,-26.7,-50.1,-19.7,-50.8,5.6,-55.5,-47,-32.7,-29.4,-38.4,-9.9,-33,-42.9,-33.8,-33.1
2009,10.6,0,-50,172.7,16.5,29.7,65.4,-17,70.9,21.1,-14.5,-9.7,-0.5,-3.5,5.1,-22.6,42.8,7.5
2010,35,0,93.5,126.7,34.8,7.9,43.2,65.4,46,52.7,53.8,38.5,39.9,38.1,26.7,80,14.9,39.3
2011,24.2,N.A.,N.A.,385.3,8.9,27.2,20.2,15.1,6.6,-5.9,-3.8,8.2,24.1,8.8,45,11.5,10.3,14.6
2012,42.5,N.A.,N.A.,142.7,9,20.4,20.2,31.9,11.6,-1.3,17.1,31.9,32.6,-3,-13.5,44.4,5.4,18
2013,-13.9,N.A.,N.A.,67.9,10.9,9.9,20.4,26.1,-19.6,9,19.3,-8.6,10.2,27.6,13,-25.1,24.6,11.2
2014,4.9,N.A.,N.A.,-37.1,-5.9,4.9,-14.2,2.3,33.9,5.5,11.8,8,-0.4,7.4,16.3,-33.9,3.6,1.6
2015,-1.2,N.A.,N.A.,-22.7,-19.8,-8.7,-0.4,-13.7,18.3,29.8,2.6,-5.4,5.5,0.5,8.7,8.8,-8.2,-3.1
2016,-16.4,N.A.,N.A.,29.7,9.7,-7.2,-2,1.2,-14.4,-19,-1.5,-4.8,-16.3,-7.3,-3,2.1,-20.4,-5.8
2017,26,N.A.,N.A.,62,1,5.8,13.4,4.1,2.1,14,-4.7,13.2,5.6,13.1,53.7,-4.7,-2.2,10.3
2018,12.9,N.A.,N.A.,-37.9,-1.7,12.4,23.4,0,0.5,7.3,6,8.9,14,16.3,-6.1,38,5.9,5.6
2019,-39,N.A.,N.A.,-41.6,-32.3,-44.5,-33.8,-65,-8,-0.9,-17.8,-26.5,-19.8,-8.7,4.6,-28.1,-54.6,-30.4
2020,-68.5,N.A.,N.A.,-84.3,-39.4,-40.2,-37.4,-50.6,-35.6,-21.5,-26.2,-27.1,-43.7,-8.8,-24.2,-73.5,-58.7,-35.6
2021,139.5,N.A.,N.A.,232.1,41.9,81.4,101.9,189.8,49.6,30.3,64.5,64,38.7,71.3,66.8,206.4,206.6,74
2022,39.4,N.A.,N.A.,106.9,5.5,14.4,107.4,10.6,14.8,0.3,0.3,1.8,21.1,19,19.9,53.2,31.2,20
