Year,Manufacturing,Mining and quarrying,"Electricity and gas supply, and waste management", Construction sites (manual workers only),Import/export trade and wholesale, Retail,"Transportation, storage, postal and courier services",Accommodation and food services (1),Information and communications,Financing and insurance,Real estate,"Professional, scientific and technical services",Administrative and support services,Education,Human health and social work services,"Arts, entertainment and recreation",Other services,All industry sections covered
2000,1585,0,30,177,5635,2433,903,1675,1475,2040,1289,1825,1784,735,2668,404,621,25279
2001,1043,0,8,75,3009,1511,538,1242,887,1476,1094,614,1365,631,2383,645,638,17159
2002,845,0,4,28,3430,1472,704,1073,530,1610,1475,852,872,518,1903,430,470,16216
2003,781,0,6,36,4828,2326,686,1689,1150,2225,1363,1130,1131,515,1820,679,545,20910
2004,1297,0,3,33,6427,2588,990,2165,1063,2863,2059,2136,2049,1112,1852,1567,1025,29229
2005,1982,0,28,21,7774,3620,1226,4246,1503,3941,1990,1950,2279,1380,1830,1384,1353,36507
2006,1388,0,20,16,6784,4106,1486,3795,1787,3603,2476,2392,2515,1803,2743,1661,2003,38578
2007,1646,0,64,15,8286,4390,1792,5392,1878,4514,2943,2814,3662,2146,3265,2832,2426,48065
2008,1050,0,62,11,4132,3527,881,5694,835,2394,1980,1986,2256,1933,2188,1617,1607,32153
2009,1161,0,31,30,4812,4575,1457,4725,1427,2900,1692,1793,2244,1865,2300,1251,2294,34557
2010,1567,3,60,68,6487,4936,2086,7814,2084,4429,2603,2483,3140,2576,2914,2252,2635,48137
2011,1946,,,330,7067,6277,2507,8992,2222,4168,2504,2686,3896,2802,4225,2512,2906,55146
2012,2773,,,801,7705,7556,3014,11859,2480,4112,2932,3542,5167,2719,3656,3627,3063,65095
2013,2387,,,1345,8544,8307,3630,14959,1995,4481,3497,3236,5695,3469,4133,2715,3816,72382
2014,2503,,,846,8042,8711,3115,15297,2672,4727,3910,3495,5672,3724,4808,1794,3952,73533
2015,2473,,,654,6449,7949,3103,13202,3162,6134,4011,3308,5985,3742,5224,1951,3626,71241
2016,2067,,,848,7073,7373,3040,13360,2708,4969,3950,3148,5007,3470,5065,1992,2887,67141
2017,2605,,,1374,7147,7798,3447,13911,2765,5665,3764,3565,5289,3926,7787,1899,2823,74041
2018,2940,,,853,7026,8766,4254,13907,2780,6077,3988,3883,6030,4565,7313,2620,2990,78186
2019,1793,,,498,4757,4865,2817,4862,2557,6025,3278,2855,4836,4167,7647,1884,1357,54433
2020,564,,,78,2881,2908,1764,2401,1646,4728,2420,2080,2721,3802,5796,500,560,35056
2021,1351,,,259,4089,5274,3561,6959,2463,6159,3980,3412,3774,6512,9668,1532,1717,60980
2022,1883,,,536,4314,6033,7385,7700,2827,6175,3992,3474,4570,7752,11593,2347,2253,73148
