Year,Manufacturing,Mining and quarrying,"Electricity and gas supply, and waste management", Construction sites (manual workers only),Import/export trade and wholesale, Retail,"Transportation, storage, postal and courier services",Accommodation and food services (1),Information and communications,Financing and insurance,Real estate,"Professional, scientific and technical services",Administrative and support services,Education,Human health and social work services,"Arts, entertainment and recreation",Other services,All industry sections covered
2000,0.8,0,0.3,0.2,1,1.1,0.7,0.8,1.6,1.3,1.6,1.6,1.4,0.6,2.6,2.7,1.1,1.1
2001,0.6,0,0.1,0.1,0.5,0.7,0.4,0.6,1,0.9,1.3,0.5,1.1,0.5,2,4,1.1,0.7
2002,0.5,0,0,0,0.6,0.7,0.5,0.5,0.6,1,1.7,0.7,0.7,0.4,1.5,2.2,0.7,0.7
2003,0.5,0,0.1,0.1,0.9,1.1,0.5,0.8,1.4,1.5,1.5,1,0.9,0.4,1.4,3.1,0.9,0.9
2004,0.9,0,0,0.1,1.1,1.2,0.7,1,1.3,1.9,2.3,1.8,1.4,0.8,1.4,4.4,1.7,1.3
2005,1.3,0,0.3,0,1.3,1.6,0.8,1.9,1.8,2.4,2,1.6,1.6,1,1.4,3.2,2.2,1.5
2006,1,0,0.2,0,1.1,1.8,1,1.6,2.1,2.1,2.4,1.8,1.6,1.2,2,3.9,3,1.6
2007,1.2,0,0.6,0,1.4,1.8,1.2,2.2,2.1,2.5,2.7,2.1,2.4,1.4,2.3,6.5,3.5,1.9
2008,0.8,0,0.6,0,0.7,1.5,0.6,2.3,0.9,1.3,1.9,1.4,1.5,1.2,1.5,3.7,2.4,1.3
2009,0.9,0,0.3,0.1,0.8,1.9,0.9,1.9,1.6,1.5,1.5,1.3,1.4,1.1,1.5,2.8,3.3,1.4
2010,1.3,3.5,0.5,0.1,1.1,1.9,1.3,3,2.3,2.2,2.3,1.7,1.8,1.5,1.9,4.8,3.6,1.8
2011,1.7,N.A.,N.A.,0.5,1.2,2.4,1.5,3.3,2.3,2,2,1.7,2.1,1.6,2.6,5.3,3.9,2.1
2012,2.6,N.A.,N.A.,1.1,1.4,2.8,1.8,4.1,2.5,1.9,2.3,2.2,2.8,1.5,2.2,7.5,4,2.4
2013,2.3,N.A.,N.A.,1.7,1.5,3,2.1,5.1,1.9,2.1,2.7,1.9,2.9,1.9,2.4,5.6,4.8,2.6
2014,2.4,N.A.,N.A.,1,1.4,3.1,1.7,5.1,2.5,2.1,2.9,2.1,2.9,1.9,2.7,3.3,4.9,2.6
2015,2.4,N.A.,N.A.,0.6,1.2,2.9,1.7,4.5,2.9,2.7,3,1.9,3,1.9,2.8,3.7,4.5,2.5
2016,2.1,N.A.,N.A.,0.7,1.3,2.7,1.7,4.5,2.5,2.2,2.9,1.8,2.4,1.7,2.7,4,3.7,2.3
2017,2.8,N.A.,N.A.,1.1,1.3,2.8,1.9,4.7,2.5,2.4,2.8,2,2.6,1.9,3.9,3.8,3.5,2.5
2018,3.2,N.A.,N.A.,0.8,1.3,3.1,2.3,4.5,2.5,2.5,2.9,2.1,2.9,2.2,3.6,5,3.7,2.6
2019,2.1,N.A.,N.A.,0.5,1,1.8,1.5,1.7,2.3,2.5,2.4,1.5,2.3,2,3.6,3.6,1.8,1.9
2020,0.7,N.A.,N.A.,0.1,0.7,1.1,1,1,1.5,1.9,1.7,1.1,1.3,1.8,2.7,1.1,0.8,1.3
2021,1.7,N.A.,N.A.,0.2,0.9,2.1,2.1,2.7,2.2,2.5,2.7,1.8,1.9,3.1,4.3,3.2,2.3,2.2
2022,2.5,N.A.,N.A.,0.5,1,2.4,4.3,2.9,2.6,2.6,2.8,1.8,2.3,3.6,5.1,4.9,3,2.6
